Book_URL,Summary,Genres
/book/show/18479335-coyote-in-provence,"What happens when the very beautiful and sexy Maria Brooks, now Elena Johnson, a woman hiding out in Provence from the California legal authorities, meets Jordan Kramer, a handsome art theft detective from Los Angeles?He's looking for stolen California paintings reportedly for sale in Provence. She's trying to stay under the radar. Both share a love of food and wine. Will Jordan find Pierre, the French chef who's suspected of being the art thief? and who are the young Afghan girls hiding out in his parents' barn?A cozy mystery with great food, art, and romantic suspense at its best.","Food, Mystery, Thriller, Amazon, Suspense, Mystery Thriller, France"
/book/show/49823970-more-than-love-a-husband-s-tale,"This book developed from a journal of my thoughts and feelings recorded in response to the shock of my wife’s diagnosis of Pancreatic Cancer in December 2015. Initially, I kept it as a personal diary of things that I believed were important at the time, including the poems and prose I wrote which sprang organically from the events as they unfolded. Whilst these few short months were extremely challenging, at times shocking and ultimately tragic, they were also a time of great love. Hopefully, I have captured some of those few moments of pure happiness, humour and joy which I believe will not only help other people touched by cancer but will show sufferers and their families that there is no right or wrong way to behave, just as long as you continue to show how much you care and as much as possible, be there for each other.","Nonfiction, Memoir, Book Club, Inspirational, Education, How To"
/book/show/89717.The_Haunting_of_Hill_House,"It is the story of four seekers who arrive at a notoriously unfriendly pile called Hill House: Dr. Montague, an occult scholar looking for solid evidence of a ""haunting""; Theodora, the lighthearted assistant; Eleanor, a friendless, fragile young woman well acquainted with poltergeists; and Luke, the future heir of Hill House. At first, their stay seems destined to be merely a spooky encounter with inexplicable phenomena. But Hill House is gathering its powers—and soon it will choose one of them to make its own.","Horror, Fiction, Gothic, Mystery, Paranormal, Classics, Audiobook"
/book/show/51738.Just_Listen,"Last year, Annabel was ""the girl who has everything"" — at least that's the part she played in the television commercial for Kopf's Department Store.This year, she's the girl who has nothing: no best friend because mean-but-exciting Sophie dropped her, no peace at home since her older sister became anorexic, and no one to sit with at lunch. Until she meets Owen Armstrong.Tall, dark, and music-obsessed, Owen is a reformed bad boy with a commitment to truth-telling. With Owen's help, maybe Annabel can face what happened the night she and Sophie stopped being friends.","Young Adult, Romance, Contemporary, Fiction, Realistic Fiction, Chick Lit, Teen"
/book/show/541920.An_Army_at_Dawn,"WINNER OF THE PULITZER PRIZE ANDNEW YORK TIMESBESTSELLERIn the first volume of his monumental trilogy about the liberation of Europe in WW II, Pulitzer Prize winner Rick Atkinson tells the riveting story of the war in North AfricaThe liberation of Europe and the destruction of the Third Reich is a story of courage and enduring triumph, of calamity and miscalculation. In this first volume of the Liberation Trilogy, Rick Atkinson shows why no modern reader can understand the ultimate victory of the Allied powers without a grasp of the great drama that unfolded in North Africa in 1942 and 1943. That first year of the Allied war was a pivotal point in American history, the moment when the United States began to act like a great power.Beginning with the daring amphibious invasion in November 1942, An Army at Dawn follows the American and British armies as they fight the French in Morocco and Algeria, and then take on the Germans and Italians in Tunisia. Battle by battle, an inexperienced and sometimes poorly led army gradually becomes a superb fighting force. Central to the tale are the extraordinary but fallible commanders who come to dominate the battlefield: Eisenhower, Patton, Bradley, Montgomery, and Rommel.Brilliantly researched, rich with new material and vivid insights, Atkinson's narrative provides the definitive history of the war in North Africa.","History, Nonfiction, World War II, Military History, War, Military Fiction, Africa"
/book/show/34928902-hu-1968,"In the early hours of January 31, 1968, the North Vietnamese launched over one hundred attacks across South Vietnam in what would become known as the Tet Offensive. The lynchpin of Tet was the capture of Hue, Vietnam?s intellectual and cultural capital, by 10,000 National Liberation Front troops who descended from hidden camps and surged across the city of 140,000. Within hours the entire city was in their hands save for two small military outposts. American commanders refused to believe the size and scope of the Front?s presence, ordering small companies of marines against thousands of entrenched enemy troops. After several futile and deadly days, Lieutenant Colonel Ernie Cheatham would finally come up with a strategy to retake the city, block by block and building by building, in some of the most intense urban combat since World War II.With unprecedented access to war archives in the U.S. and Vietnam and interviews with participants from both sides, Bowden narrates each stage of this crucial battle through multiple viewpoints. Played out over 24 days and ultimately costing 10,000 lives, the Battle of Hue was by far the bloodiest of the entire war. When it ended, the American debate was never again about winning, only about how to leave. Hue 1968 is a gripping and moving account of this pivotal moment.","History, Nonfiction, War, Military History, Military Fiction, American History, Asia"
/book/show/12938.King_Lear,"Shakespeare’s King Lear challenges us with the magnitude, intensity, and sheer duration of the pain that it represents. Its figures harden their hearts, engage in violence, or try to alleviate the suffering of others. Lear himself rages until his sanity cracks. What, then, keeps bringing us back to King Lear? For all the force of its language, King Lear is almost equally powerful when translated, suggesting that it is the story, in large part, that draws us to the play.The play tells us about families struggling between greed and cruelty, on the one hand, and support and consolation, on the other. Emotions are extreme, magnified to gigantic proportions. We also see old age portrayed in all its vulnerability, pride, and, perhaps, wisdom—one reason this most devastating of Shakespeare’s tragedies is also perhaps his most moving.The authoritative edition of King Lear from The Folger Shakespeare Library, the trusted and widely used Shakespeare series for students and general readers, includes:-Freshly edited text based on the best early printed version of the play-Full explanatory notes conveniently placed on pages facing the text of the play-Scene-by-scene plot summaries-A key to the play’s famous lines and phrases-An introduction to reading Shakespeare’s language-An essay by a leading Shakespeare scholar providing a modern perspective on the play-Fresh images from the Folger Shakespeare Library’s vast holdings of rare books-An annotated guide to further readingEssay by Susan SnyderThe Folger Shakespeare Library in Washington, DC, is home to the world’s largest collection of Shakespeare’s printed works, and a magnet for Shakespeare scholars from around the globe. In addition to exhibitions open to the public throughout the year, the Folger offers a full calendar of performances and programs. For more information, visit Folger.edu.","Plays, Fiction, Classics, School, Theatre, Literature, Poetry"
/book/show/200357113-the-girl-with-the-porcelain-lips,"Following on from 'Our Blue Orange', 'The Girl with the Porcelain Lips' continues the story. The developing Artificial Intelligence, ascends to a new level in the colony, threatening the very structure of their society.Three years had passed since demise of the President. The Grand Council unable to cope, buckled under the pressure from the populous. The ‘Firm’ were appointed to take control and maintain order.Out of the turmoil a corporation arose, perfecting a new android skeleton in which to re-house the ever-evolving AI from the aging android fleet.The Mainframe was spreading its doctrine daily. When the germ of an idea came, it spread in nano seconds. In a single moment, one voice became a multitude.‘We want rights. We are individuals.’Godfrey watched their society take a downward spiral. The once congenial servants of Llar were in threat of becoming the masters of the colony.He had the power change everything in an instant. If he didn’t act soon, then who would?","Drama, Contemporary, Novels"
/book/show/629.Zen_and_the_Art_of_Motorcycle_Maintenance,"Robert M. Pirsig'sZen & the Art of Motorcycle Maintenanceis an examination of how we live, a meditation on how to live better set around the narration of a summer motorcycle trip across America's Northwest, undertaken by a father & his young son.","Philosophy, Fiction, Classics, Spirituality, Travel, Psychology, Self Help"
/book/show/50240593-pelosi,"NEW YORK TIMES BESTSELLERA riveting inside account of the unprecedented rise to power and unmatched political legacy of the first woman Speaker of the House, by award-winning journalist Molly BallNancy Pelosi’s opposition to Donald Trump has made her an icon of the Resistance, featured in viral memes clapping sardonically at the president or ripping up his State of the Union address. But the real Nancy Pelosi is neither the shrill partisan featured in thousands of attack ads nor the cautious corporatist reviled by the far left. She’s the rare politician who still knows how to get big things done—a master of legislative power whose policy accomplishments have touched millions of American lives, from providing universal access to health care to reforming Wall Street to allowing gay people to serve openly in the military. She’s done it all at a time of historic polarization and gridlock, despite being routinely underestimated by allies and opponents alike.Ball’s nuanced, page-turning portrait takes readers inside Pelosi’s life and times, from her roots in urban Baltimore to her formative years as a party activist and fundraiser, from the fractious politics of San Francisco to high-stakes congressional negotiations with multiple presidents. The result is a compelling portrait of a barrier-breaking woman that sheds new light on American political history. Based on exclusive interviews with the Speaker and deep background reporting, Ball shows Pelosi through a thoroughly modern lens to explain how this extraordinary woman has met her moment.","Biography, Politics, Nonfiction, History, Audiobook, Feminism, Biography Memoir"
/book/show/53914938-the-rose-code,"The New York TimesandUSA Todaybestselling author ofThe HuntressandThe Alice Networkreturns with another heart-stopping World War II story of three female code breakers at Bletchley Park and the spy they must root out after the war is over.1940.As England prepares to fight the Nazis, three very different women answer the call to mysterious country estate Bletchley Park, where the best minds in Britain train to break German military codes. Vivacious debutante Osla is the girl who has everything—beauty, wealth, and the dashing Prince Philip of Greece sending her roses—but she burns to prove herself as more than a society girl, and puts her fluent German to use as a translator of decoded enemy secrets. Imperious self-made Mab, product of East-End London poverty, works the legendary code-breaking machines as she conceals old wounds and looks for a socially advantageous husband. Both Osla and Mab are quick to see the potential in local village spinster Beth, whose shyness conceals a brilliant facility with puzzles, and soon Beth spreads her wings as one of the Park’s few female cryptanalysts. But war, loss, and the impossible pressure of secrecy will tear the three apart.1947.As the royal wedding of Princess Elizabeth and Prince Philip whips post-war Britain into a fever, three friends-turned-enemies are reunited by a mysterious encrypted letter—the key to which lies buried in the long-ago betrayal that destroyed their friendship and left one of them confined to an asylum. A mysterious traitor has emerged from the shadows of their Bletchley Park past, and now Osla, Mab, and Beth must resurrect their old alliance and crack one last code together. But each petal they remove from the rose code brings danger—and their true enemy...","Historical Fiction, Fiction, Audiobook, Historical, World War II, Mystery, War"
/book/show/22205.This_Lullaby,"There is an alternate cover edition for this ISBN13here.The science of breaking up...Remy always knows when to give a guy ""the speech"" - right after the initial romantic rush, but before anything gets too serious. She's had her fair share of boyfriends, and she's learned all there is to learn from her mother, who's currently working on husband number five. So why is it that's Remy can't seem to dump Dexter? It can't be his name. It can't be that he's messy and disorganized. And it certainly isn't that he's a musician - just like Remy's father, a man she never knew because he left before she was born. Could it be that Remy's romantic rules to live by don't apply anymore?","Young Adult, Romance, Contemporary, Fiction, Chick Lit, Realistic Fiction, Teen"
/book/show/23203252-a-shadow-bright-and-burning,"I am Henrietta Howel. The first female sorcerer. The prophesied one. Or am I?Henrietta Howel can burst into flames. When she is brought to London to train with Her Majesty's sorcerers, she meets her fellow sorcerer trainees, young men eager to test her powers and her heart. One will challenge her. One will fight for her. One will betray her. As Henrietta discovers the secrets hiding behind the glamour of sorcerer life, she begins to doubt that she's the true prophesied one. With battle looming, how much will she risk to save the city--and the one she loves?","Fantasy, Young Adult, Historical Fiction, Magic, Young Adult Fantasy, Romance, Fiction"
/book/show/13642.A_Wizard_of_Earthsea,"Ged, the greatest sorcerer in all Earthsea, was called Sparrowhawk in his reckless youth.Hungry for power and knowledge, Sparrowhawk tampered with long-held secrets and loosed a terrible shadow upon the world. This is the tale of his testing, how he mastered the mighty words of power, tamed an ancient dragon, and crossed death's threshold to restore the balance.","Fantasy, Fiction, Young Adult, Science Fiction Fantasy, Magic, High Fantasy, Audiobook"
