Book_URL,Summary,Genres
/book/show/3851330-the-sign,"Another cutting-edge thriller set at the intersection of science, religion, and history from the bestselling author of The Last TemplarNew York Times bestselling author Raymond Khoury, whose debut novel, The Last Templar, has sold more than a million copies in the United States, and whose second, The Sanctuary, was also a major national bestseller, returns with The Sign. Like the first two, this new thriller combines gripping contemporary suspense with a high-concept mystery rooted in history, philosophy, religion, and science. And like those novels, it is bound for bestseller lists nationwide.In Antarctica, a scientific expedition drops anchor for a live news feed. As the CNN journalist begins her report, a massive, shimmering sphere of light suddenly appears in the sky, enveloping the ship in luminous white light before disappearing as mysteriously as it arrived, the entire event witnessed by an incredulous world audience.Meanwhile in a dusty bar in Egypt, a dozen men are lazily discussing the state of the world when the brilliant, glowing symbol on the television stops them cold. One man breaks out in a sweat, crosses himself repeatedly, and rushes out of the bar muttering the same phrase over and over again: It can't be.Across the Internet and around the globe, a stunning controversy threatens to consume the world: Has God finally decided to reveal himself? Or is something more sinister at hand?Raymond Khoury/Steve Berry interviewSTEVE BERRY: Your new thriller, THE SIGN. I'm gonna come right out and say it: I think it's your best one yet. What do you think?RAMOND KHOURY: Tough call. It's my new baby, and much as I adore its elder siblings, it does have that newborn magic to it.STEVE: Trust me, it is. It's also a bit of a departure from your first two books, in that it doesn't have the past-and-present storylines. Knowing how stories kind of take on a life of their own, that wasn't a conscious decision from the get-go, was it?RAYMOND KHOURY: No, it wasn't premeditated. It's just the way the story came out. The whole story happens in the present. It takes place over a few manic days, I think you're familiar with that pacing, right? And it deals with the present, it's about a what if situation that's very today and now, there's a mystery, something to figure out, but there's no throwback to the past, no long lost secret to uncover.STEVE BERRY: It's also very topical. Your editors must be pleased.RAYMOND: I guess it happened that way because the story came out of some very strong feelings I had, feelings about what was going on around the world, in the US and abroad.STEVE: Tell me about that process. Where the story came from.RAYMOND: It's where they all come from, isn't it? That kernel, that one thought or one observation you have that just sticks and triggers a book, the one that bugs you late at night and that you can't shake. This one came to me while watching the news one day, and every item, one after another, it was all bad news. Not just bad, but it was like a lot of people were behaving so insanely in so many places around the world, and, sadly, a lot of it was fuelled by the manipulation or distortion of religious faith.STEVE: By intolerance?RAYMOND: Exactly. Intolerance and closed minds. And it got me thinking. About how divided we are, about how so many people all over the world believe in the absolute infallibility of their faith and how it rules every aspect of their lives, you know what I mean, we're right, everyone else is wrong, that medieval mindset and wondering if anything could ever unite the planet under a single faith.STEVE: One global religion. RAYMOND: Well, imagine if something did happen that convinced everyone that what we had until now, all these different religions that have grown over the last few thousand years, what if something new came along that was so overwhelming that it was impossible to ignore? Would we listen? Would we drop our previous faiths and embrace it?STEVE: But your book's about much more than that. Without wanting to give too much away, it's really a political thriller, isn't it?RAYMOND: It's always so hard to talk about a book without giving too much away.STEVE: It's the fine line we walk.RAYMOND: True. But yes, you're right, it's really about the absolute power something like that would bring, and how it could be abused. Cause above all else, it's a thriller. There's got to be a brilliantly dastardly scheme, right?STEVE: Always. And this one certainly is dastardly. One thing I've noticed, though, in all three of your books so far, they're all, essentially, about the big questions that face us: why we believe, whether or not we have to die. Religion, longevity, life and death, science vs. faith ... Big questions. And in this one, you revisit, though in a completely different way, the power of religion, the good it can bring as well as the bad, something that was also central toThe Last Templar. Will this always be your signature genre, books that have a big, central theme at their core?RAYMOND: You asked me earlier about where the story came from. For me, in order to get excited about a book, it has to have a big central theme about how we live at its heart, something I'm interested in exploring. It's got to be about something I care about deeply. That's what drives the story and the characters forward for me. That's what I hope makes the books stand out. That they're not just page-turners, which ain't easy in itself, but that they're also about something. I see it in your books too. A point of view about things, a passion for laying out interesting information about a topic that interests you. Michael Crichton used to do that very successfully. Dan Brown, of course, does it brilliantly. That's what makes the books worth writing, I think.STEVE: And in reading the book, it's clear you still had tons of research to do, even though there isn't a historic mystery to unravel?RAYMOND: Absolutely. Some of it was about history, the monasteries in Egypt, for one. Again, part of the story, organically. Had to be done, and we do love our history, don't we?STEVE: Guilty as charged.RAYMOND: But for this book, I didn't need to do that much of it's nothing like what you did for THE CHARLEMAGNE PURSUIT, for instance. Which I loved, by the way. Particularly since you beat me to using the Voynich Manuscript in a story!STEVE: We do seem to be spookily in sync with our writing as further evidenced by THE SIGN's opening in Antarctica?RAYMOND: I know!STEVE: So tell me, Matt and Gracie. Are we going to see them again?RAYMOND: I don't know. On the one hand, I envy your situation with Cotton Malone, you've got a solid anchor for your books, you're building this great world around him, his son and Stephanie and Henrik and Cassiopeia, who I hope we see again real soon, and it's meaty and it's epic and like the rest of your readers, I'm hooked and I want to know what they do next. You've got that, Lee Child has had it since day one with Reacher, Harlan Coben with Myron Bolitar, the list goes on. Great characters. I'd love to do that one day, but it has to feel right. I wasn't in that frame of mind in my first two books, certainly the world after the end of THE SANCTUARY would be a very different place from the world Mia started out in at the beginning of that book. Tess and Reilly, I could maybe bring back. A lot of fans have asked for that. But with THE SIGN, Iinitely think Matt and Gracie are characters that I could bring back. I'd like to put them through another wringer, and it feels like it would come naturally. But before I do that, I'm writing the next book which introduces a new lead character, so they'll be getting a bit of a breather.STEVE: They sure can use it. Good luck with the book.RAYMOND: Thank you.","Thriller, Fiction, Mystery, Historical Fiction, Mystery Thriller, Suspense, Adventure"
/book/show/2882717-things-that-are,"Alicia may be blind, but that doesn't mean she can't see what is happening right in front of her eyes. Like how her parents try to give her freedom. Or how Bobby now Robert has returned to figure out their relationship. Or even the invisible man, William, and just how dangerous he is to Alicia, to Robert, to their whole family or so the police say. Or is Alicia wrong this time? If her normally sharp instincts are wrong, the results could be disastrous.From award-winning author Andrew Clements, here is a novel full of adventure, romance, and mystery, which at its heart is about trusting even things we know but cannot see.","Young Adult, Science Fiction, Fiction, Realistic Fiction, Fantasy, Teen, Middle Grade"
/book/show/1205431.Outlaw_Varjak_Paw,"Having saved the city cats from a fate worse than death, Varjak Paw finds himself the leader of a new gang. But will the pressure take its toll on this brave but sometimes naive cat? Soon the city erupts in an all-out gang war as the evil Sally Bones attempts to control all cats. Horrified and outnumbered, Varjak and the others must fight for their freedom or die trying.From the Hardcover edition.","Fiction, Fantasy, Animals, Cats, Childrens, Young Adult, Middle Grade"
/book/show/483007.Califia_s_Daughters,"Set in the near future and inspired by the captivating myth of the warrior queen Califia, this brilliantly inventive novel tells the story of a small, peaceful community of women tucked away in a world gone mad.Only the elders of the Valley remember life the way it used to be, when people traveled in automobiles and bought food others had grown. When the ratio of male to female was nearly the same. Before the bombs fell, and a deadly virus claimed the world's men.Now, civilization's few surviving males are guarded by women warriors like Dian, the Valley's chief protector, as fierce and loyal as the guard dogs she trains. When an unexpected convoy of strangers rides into her village, it isDian who meets them, ready to do battle.To her surprise, the visitors come in peace and bear a priceless gift, whose arrival is greeted with as much suspicion as delight. And indeed, the strangers want something in return, a request that could change the future ofthe Valley into one of hope--or utter desolation.It is up to Dian to discover their motive, in a journey that will cost her far more than she ever imagined, a journey from which she may never return.","Science Fiction, Fiction, Fantasy, Post Apocalyptic, Dystopia, Audiobook, Feminism"
/book/show/126576.Under_the_Volcano,"""Lowry's masterpiece...has a claim to being regarded as one of the ten most consequential works of fiction produced in [the twentieth] century."" —Los Angeles TimesGeoffrey Firmin, a former British consul, has come to Quauhnahuac, Mexico. His debilitating malaise is drinking, an activity that has overshadowed his life. On the most fateful day of the consul's life—the Day of the Dead—his wife, Yvonne, arrives in Quauhnahuac, inspired by a vision of life together away from Mexico and the circumstances that have driven their relationship to the brink of collapse. She is determined to rescue Firmin and their failing marriage, but her mission is further complicated by the presence of Hugh, the consul's half brother, and Jacques, a childhood friend. The events of this one significant day unfold against an unforgettable backdrop of a Mexico at once magical and diabolical.Under the Volcanoremains one of literature's most powerful and lyrical statements on the human condition, and a brilliant portrayal of one man's constant struggle against the elemental forces that threaten to destroy him.","Fiction, Classics, Literature, Novels, Historical Fiction, 20th Century, British Literature"
/book/show/304123.Blade_of_Tyshalle,"On Earth, Hari Michaelson was a superstar. But on Overworld, he was the assassin Caine. Real monarchs lived and died at his hands and entire governments were overthrown–all for the entertainment of millions back on Earth. But now Hari, stripped of his identity as Caine, must fight his greatest against the powerful corporate masters of Earth and the faceless masses who are killing everything he loves. Enemies old and new array themselves against him. And Hari is just one man–alone, half-crippled, powerless. They say he doesn’t have a chance. They are wrong. . . .","Fantasy, Science Fiction, Fiction, Dark Fantasy, Epic Fantasy, Audiobook, Dystopia"
/book/show/6321600-flor-de-mel,""" Fleur de miel fleur de peau... "" Cette ritournelle est peu prs tout ce qui reste Mlia de sa mre. Comment ferait-elle pour vivre si grand-mre Rosa ne lui parlait pas de la reine du Palais des Dionades, de la Folle-des-Mers et si sa Marraine la Fe ne veillait pas sur elle","Childrens, Fiction, Portuguese Literature, Portugal, Adolescence"
/book/show/625554.Pillar_of_Light,"""You believe me, don't you, Nathan."" It was not a question, but a statement, filled with wonder.It stunned Nathan.""You believe it all. I can see it on your face.""For a moment, time seemed suspended as Nathan probed the inward recesses of his soul. There was still the incredulousness, still the sense of hearing something that couldn't possibly be true. And yet he knew it was. He knew without the least shadow of doubt that everything Joseph was telling him was true. And so, finally, with a wonder of his own, he said, ""Yes, Joseph, I believe you.""Pillar of Light — the first volume in the series The Work and the Glory — begins the epic story of the Benjamin Steed family. In the 1820s they move from Vermont to Palmyra Township in upstate New York in search of better farmland. There they meet a young man named Joseph Smith and are thrown into the maelstrom of conflict and controversy that swirls around him. Did he really see the Father and the Son in a pillar of light? Has he truly been visited by angelic messengers? What is all this talk about gold plates and new scripture? In short, is he a prophet and seer or a monumental fraud? The answers each one gives to these questions — intensely personal, potentially divisive — will dramatically affect the lives of the Steeds forever after.Author Gerald N. Lund here masterfully weaves together historical reality and high-powered fiction. In his hands this combination seems to make the reader an eyewitness to the early scenes of the Restoration, thus deepening one's understanding and appreciation of those momentous events. The well-drawn plot and fictional characters present a moving, gripping story. Here are Benjamin and Mary Ann Steed, devoted to each other as man and wife, yet at odds over religion; Joshua, their volatile son, who rebels and heads for trouble; the sensitive Nathan, their second son, in whom Joseph Smith's message strikes a responsive chord; the beautiful Lydia McBride, who captures the hearts of both Joshua and Nathan.This book skillfully explores the inmost motivations of Joseph Smith and his early followers and the responses of typical contemporary families to the claims he made. These people come to life in this powerful historical novel, a story that captures both the heartache and the happiness that came in the wake of Joseph's experience with the pillar of light.","Historical Fiction, Lds, Lds Fiction, Religion, Fiction, Historical, Church"
/book/show/48318.The_Solitaire_Mystery,"Twelve-year-old Hans Thomas and his father are driving from Norway to Greece in search of Hans Thomas's mother, who left them many years before. Along the way, the boy receives a mysterious miniature book - the fantastic memoir of a sailor shipwrecked in 1842 on a strange island where a deck of cards has come to life. But what does the sailor's journey have to do with that of Hans Thomas? And what can both their journeys tell us about our own quest to understand life?","Fiction, Philosophy, Fantasy, Young Adult, Mystery, Novels, Magical Realism"
/book/show/411828.A_Banner_Is_Unfurled,"Ezekiel Johnson feels like he is losing his family one by one. It is the 1820s, and years earlier, Ezekiel had fled his abusive stepfather and his loving, yet browbeaten mother promising he would never return. He vowed that when he had a family they would be bound together in freedom, happiness, and love. But now this strange, new Mormon religion seems to have captured the hearts of his wife and children in spite of the rumors that surround it and its supposed prophet, Joseph Smith.As wicked individuals and strong temptations seek to block his familys path to happiness, Ezekiel realizes that he must either allow them to join the Church and risk losing them, or tear them away from their newfound faith even if they end up hating him for it.From authors Marcie Gallacher and Kerri Robinson comes the emotional first volume in the epic series A Banner Is Unfurled, telling the remarkable story of a real family in Church history and the choices they must face. Full of drama and passion, this book is one you will want to share with your family, friends, and loved ones.","Historical Fiction, Lds Fiction, Lds, Religion, Historical"
