,GroupedGenres,Clean_summary
0,Horror and Paranormal,story four seekers arrive notoriously unfriendly pile called hill house montague occult scholar looking solid evidence haunting theodora lighthearted assistant eleanor friendless fragile young woman well acquainted poltergeists luke future heir hill house. first stay seems destined merely spooky encounter inexplicable phenomena. hill house gathering powers soon choose one make own.
1,Youth Literature (Children and Young Adult),last year annabel girl everything least part played television commercial kopf department store. this year girl nothing best friend mean exciting sophie dropped peace home since older sister became anorexic one sit lunch. meets owen armstrong. tall dark music obsessed owen reformed bad boy commitment truth telling. owen help maybe annabel face happened night sophie stopped friends.
2,Classics and Historical,first volume monumental trilogy liberation europe world war winner rick atkinson tells riveting story war north africathe liberation europe destruction third reich story courage enduring triumph calamity miscalculation. first volume liberation trilogy rick atkinson shows modern reader understand ultimate victory allied powers without grasp great drama unfolded north africa. first year allied war pivotal point american history moment united states began act like great power. beginning daring amphibious invasion november army dawn follows american british armies fight french morocco algeria take germans italians tunisia. battle battle inexperienced sometimes poorly led army gradually becomes superb fighting force. central tale extraordinary fallible commanders come dominate battlefield eisenhower patton bradley montgomery rommel. brilliantly researched rich new material vivid insights atkinson narrative provides definitive history war north africa.
3,Classics and Historical,early hours january north vietnamese launched one hundred attacks across south vietnam would become known tet offensive. lynchpin tet capture hue vietnam intellectual cultural capital national liberation front troops descended hidden camps surged across city. within hours entire city hands save two small military outposts. american commanders refused believe size scope front presence ordering small companies marines thousands entrenched enemy troops. several futile deadly days lieutenant colonel ernie cheatham would finally come strategy retake city block block building building intense urban combat since world war unprecedented access war archives vietnam interviews participants sides bowden narrates stage crucial battle multiple viewpoints. played days ultimately costing lives battle hue far bloodiest entire war. ended american debate never winning leave. hue gripping moving account pivotal moment.
4,Literary Fiction,shakespeare king lear challenges us magnitude intensity sheer duration pain represents. figures harden hearts engage violence try alleviate suffering others. lear rages sanity cracks. keeps bringing us back king lear force language king lear almost equally powerful translated suggesting story large part draws us play. the play tells us families struggling greed cruelty one hand support consolation other. emotions extreme magnified gigantic proportions. also see old age portrayed vulnerability pride perhaps wisdom one reason devastating shakespeare tragedies also perhaps moving. the authoritative edition king lear folger shakespeare library trusted widely used shakespeare series students general readers includes freshly edited text based best early printed version play full explanatory notes conveniently placed pages facing text play scene scene plot summaries key play famous lines phrases introduction reading shakespeare language essay leading shakespeare scholar providing modern perspective play fresh images folger shakespeare library vast holdings rare books annotated guide readingessay susan snyderthe folger shakespeare library washington home world largest collection shakespeare printed works magnet shakespeare scholars around globe. addition exhibitions open public throughout year folger offers full calendar performances programs. information visit folger. edu.
5,Literary Fiction,following blue orange girl porcelain lips continues story. developing artificial intelligence ascends new level colony threatening structure society. three years passed since demise president. grand council unable cope buckled pressure populous. firm appointed take control maintain order. out turmoil corporation arose perfecting new android skeleton house ever evolving ai aging android fleet. the mainframe spreading doctrine daily. germ idea came spread nano seconds. single moment one voice became multitude. want rights. individuals. godfrey watched society take downward spiral. congenial servants llar threat becoming masters colony. he power change everything instant. act soon would
6,Biographies and Memoirs,riveting inside account unprecedented rise power unmatched political legacy first woman speaker house award winning journalist molly ballnancy pelosi opposition donald trump made icon resistance featured viral memes clapping sardonically president ripping state union address. real nancy pelosi neither shrill partisan featured thousands attack ads cautious corporatist reviled far left. rare politician still knows get big things done master legislative power whose policy accomplishments touched millions american lives providing universal access health care reforming wall street allowing gay people serve openly military. done time historic polarization gridlock despite routinely underestimated allies opponents alike. ball nuanced page turning portrait takes readers inside pelosi life times roots urban baltimore formative years party activist fundraiser fractious politics san francisco high stakes congressional negotiations multiple presidents. result compelling portrait barrier breaking woman sheds new light american political history. based exclusive interviews speaker deep background reporting ball shows pelosi thoroughly modern lens explain extraordinary woman met moment.
7,Classics and Historical,author ofthe huntressandthe alice networkreturns another heart stopping world war story three female code breakers bletchley park spy must root war england prepares fight nazis three different women answer call mysterious country estate bletchley park best minds britain train break german military codes. vivacious debutante osla girl everything beauty wealth dashing prince philip greece sending roses burns prove society girl puts fluent german use translator decoded enemy secrets. imperious self made mab product east end london poverty works legendary code breaking machines conceals old wounds looks socially advantageous husband. osla mab quick see potential local village spinster beth whose shyness conceals brilliant facility puzzles soon beth spreads wings one park female cryptanalysts. war loss impossible pressure secrecy tear three apart royal wedding princess elizabeth prince philip whips post war britain fever three friends turned enemies reunited mysterious encrypted letter key lies buried long ago betrayal destroyed friendship left one confined asylum. mysterious traitor emerged shadows bletchley park past osla mab beth must resurrect old alliance crack one last code together. petal remove rose code brings danger true enemy
8,Youth Literature (Children and Young Adult),here. the science breaking remy always knows give guy speech right initial romantic rush anything gets serious. fair share boyfriends learned learn mother currently working husband number five. remy seem dump dexter name. messy disorganized. certainly musician like remy father man never knew left born. could remy romantic rules live apply anymore
9,Fantasy,henrietta howel. first female sorcerer. prophesied one. henrietta howel burst flames. brought london train majesty sorcerers meets fellow sorcerer trainees young men eager test powers heart. one challenge her. one fight her. one betray her. henrietta discovers secrets hiding behind glamour sorcerer life begins doubt true prophesied one. battle looming much risk save city one loves
10,Fantasy,ged greatest sorcerer earthsea called sparrowhawk reckless youth. hungry power knowledge sparrowhawk tampered long held secrets loosed terrible shadow upon world. tale testing mastered mighty words power tamed ancient dragon crossed death threshold restore balance.
11,Fantasy,ketterdam bustling hub international trade anything right price one knows better criminal prodigy kaz brekker. kaz offered chance deadly heist could make rich beyond wildest dreams. pull alone convict thirst revengea sharpshooter walk away wagera runaway privileged pasta spy known wraitha heartrender using magic survive slumsa thief gift unlikely escapessix dangerous outcasts. one impossible heist. kaz crew thing might stand world destruction kill first.
12,Fantasy,dead come back haunt living lockwood step fifty years country affected horrifying epidemic ghosts. number psychic investigations agencies sprung destroy dangerous apparitions. lucy carlyle talented young agent arrives london hoping notable career. instead finds joining smallest ramshackle agency city run charismatic anthony lockwood. one cases goes horribly wrong lockwood one last chance redemption. unfortunately involves spending night one haunted houses england trying escape alive. set city stalked spectres screaming staircase first chilling new series full suspense humour truly terrifying ghosts. nights never
13,Fiction,man wakes present day alaskan wilderness idea nothing save empty journal date mirror. sees another man hunting nearby astounded look exactly alike. following man home witnesses wife child brings forth rush memories wife child except certain exist modern times life late s. recalling name wyatt worms way doppelganger travis barlow life. memories become unearthed time spends making believe frozen coming alaska gold rush travis great great grandson. wyatt certain gold still exists area finding travis ingratiate family especially travis wife callie wyatt falls love. turns dangerous obsession affecting barlows everyone small town since wyatt tamed also discovers meaning able preserved ice century. a meditation love lost unfulfilled dreams ancestor thrilling page turner present day alaska historical adventure perilous gold rush expeditions prospectors left behind lives promise hope better future. question remains whether worth sacrifice.
14,Fiction,picturesque mountain town sparks romance threatening mystery secret society devious women wonderful characters real mix women varied strength foibles review stars loved first book sugar mountain series really second read second installment get back investigating sugar mountain ladies historical society review starsthe cozy community sugar mountain nc harbors underground society women. society secret actual mission group concealed. sugar mountain sleepy town bursting tourists. like quirky shops original artwork want visit. local kindergarten teacher sarah mystery hands. try help fire department receiving threatening notes. course takes frightening messages friends sugar mountain ladies historical society even investigative skills fall short. able find person intent holding back fire department frightening sarah hugh brockman second command firehouse taking extra shifts cope shortage firefighters. visits sarah classroom talk students fire safety gets caught lovely teacher cryptic mystery. happy someone town threatening bodily harm intends find every lead shot tensions running high ladies society go undercover town flush culprit. successful fire department continue undermanned leaving sugar mountain danger sarah peril. join continuing antics sugar mountain ladies historical society fall love along hugh sarah heartfelt comical romantic mystery.
